,cooperative,cooperative,zerosum,zerosum,general-sum,general-sum
,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value,State of the Art Leader Value,Stackelberg Leader Value
dectiger(1),9.0,9.0,-75.0,-75.0,3.5,3.5
dectiger(2),18.0,18.0,-150.0,-150.0,10.486484375,10.486484375
dectiger(3),27.0,27.0,-225.0,-225.0,14.860659765625,14.710069396972656
dectiger(4),36.0,36.0,-300.0,-300.0,21.270414724609378,21.05480025515366
dectiger(5),45.0,45.0,-375.0,-375.0,25.456872624133304,25.223234320252402
dectiger(6),54.0,54.0,-450.0,-450.0,32.006477113987984,31.60668675635798
dectiger(7),63.0,63.0,-525.0,-525.0,36.22132141786935,35.784821982508454
dectiger(8),72.0,72.0,-600.0,-600.0,42.749778036477736,42.16080138422639
dectiger(9),81.0,81.0,-675.0,-675.0,46.96032978377517,46.337564490875636
dectiger(10),90.0,90.0,-750.0,-750.0,53.49198435703858,52.71457337544058
